id_orden_compra,fecha_emision,fecha_pago,proveedor,categoria,monto_ars,condicion_pago,estado
OC-5001,2018-01-01,2018-01-08,DistribuidoraTech SA,Smartphones,255794843.0,Contado,Pagado
OC-5002,2018-01-01,2018-01-12,MegaComputo SRL,Computación,33132624.0,Contado,Pagado
OC-5003,2018-01-01,2018-01-12,DistribuidoraTech SA,Tablets,109255378.0,30 días,Pagado
OC-5004,2018-01-01,2018-01-07,ElectroImport SA,TV/Audio,22013869.0,30 días,Pagado
OC-5005,2018-01-01,2018-01-11,AccesoriosTotal SRL,Accesorios,106003285.0,60 días,Pagado
OC-5006,2018-01-01,2018-01-19,MegaComputo SRL,Periféricos,127504749.0,Contado,Pagado
OC-5007,2018-01-01,2018-01-08,MegaComputo SRL,Almacenamiento,7481191.0,Contado,Pagado
OC-5008,2018-01-01,2018-01-13,NetSupply SA,Redes,61392166.0,Contado,Pagado
OC-5009,2018-01-01,2018-01-10,NetSupply SA,Seguridad,49038467.0,Contado,Pagado
OC-5010,2018-02-01,2018-02-09,DistribuidoraTech SA,Smartphones,263485642.0,Contado,Pagado
OC-5011,2018-02-01,2018-02-07,MegaComputo SRL,Computación,295476749.0,60 días,Pagado
OC-5012,2018-02-01,2018-02-17,DistribuidoraTech SA,Tablets,109255404.0,60 días,Pagado
OC-5013,2018-02-01,2018-02-16,ElectroImport SA,TV/Audio,194011239.0,Contado,Pagado
OC-5014,2018-02-01,2018-02-11,AccesoriosTotal SRL,Accesorios,95843987.0,30 días,Pagado
OC-5015,2018-02-01,2018-02-06,MegaComputo SRL,Periféricos,135711406.0,30 días,Pagado
OC-5016,2018-02-01,2018-02-19,MegaComputo SRL,Almacenamiento,80697645.0,60 días,Pagado
OC-5017,2018-02-01,2018-02-13,NetSupply SA,Redes,70249542.0,30 días,Pagado
OC-5018,2018-02-01,2018-02-10,NetSupply SA,Seguridad,46998752.0,30 días,Pagado
OC-5019,2018-03-01,2018-03-09,DistribuidoraTech SA,Smartphones,263272012.0,Contado,Pagado
OC-5020,2018-03-01,2018-03-10,MegaComputo SRL,Computación,344975703.0,60 días,Pagado
OC-5021,2018-03-01,2018-03-09,DistribuidoraTech SA,Tablets,13783141.0,30 días,Pagado
OC-5022,2018-03-01,2018-03-20,ElectroImport SA,TV/Audio,204003709.0,30 días,Pagado
OC-5023,2018-03-01,2018-03-12,AccesoriosTotal SRL,Accesorios,102853333.0,30 días,Pagado
OC-5024,2018-03-01,2018-03-11,MegaComputo SRL,Periféricos,141284941.0,Contado,Pagado
OC-5025,2018-03-01,2018-03-05,MegaComputo SRL,Almacenamiento,91341696.0,Contado,Pagado
OC-5026,2018-03-01,2018-03-13,NetSupply SA,Redes,64231021.0,Contado,Pagado
OC-5027,2018-03-01,2018-03-15,NetSupply SA,Seguridad,55776533.0,60 días,Pagado
OC-5028,2018-04-01,2018-04-05,DistribuidoraTech SA,Smartphones,349285183.0,60 días,Pagado
OC-5029,2018-04-01,2018-04-19,MegaComputo SRL,Computación,347682194.0,Contado,Pagado
OC-5030,2018-04-01,2018-04-10,DistribuidoraTech SA,Tablets,143697195.0,30 días,Pagado
OC-5031,2018-04-01,2018-04-05,ElectroImport SA,TV/Audio,286258769.0,30 días,Pagado
OC-5032,2018-04-01,2018-04-11,AccesoriosTotal SRL,Accesorios,124221193.0,30 días,Pagado
OC-5033,2018-04-01,2018-04-18,MegaComputo SRL,Periféricos,176940943.0,60 días,Pagado
OC-5034,2018-04-01,2018-04-16,MegaComputo SRL,Almacenamiento,95233118.0,60 días,Pagado
OC-5035,2018-04-01,2018-04-11,NetSupply SA,Redes,73347651.0,30 días,Pagado
OC-5036,2018-04-01,2018-04-19,NetSupply SA,Seguridad,67119688.0,30 días,Pagado
OC-5037,2018-05-01,2018-05-09,DistribuidoraTech SA,Smartphones,468001433.0,30 días,Pagado
OC-5038,2018-05-01,2018-05-11,MegaComputo SRL,Computación,490777685.0,60 días,Pagado
OC-5039,2018-05-01,2018-05-20,DistribuidoraTech SA,Tablets,256343121.0,30 días,Pagado
OC-5040,2018-05-01,2018-05-09,ElectroImport SA,TV/Audio,407031072.0,30 días,Pagado
OC-5041,2018-05-01,2018-05-13,AccesoriosTotal SRL,Accesorios,19188555.0,Contado,Pagado
OC-5042,2018-05-01,2018-05-13,MegaComputo SRL,Periféricos,240215728.0,30 días,Pagado
OC-5043,2018-05-01,2018-05-07,MegaComputo SRL,Almacenamiento,165767636.0,60 días,Pagado
OC-5044,2018-05-01,2018-05-14,NetSupply SA,Redes,13887163.0,60 días,Pagado
OC-5045,2018-05-01,2018-05-18,NetSupply SA,Seguridad,94163714.0,60 días,Pagado
OC-5046,2018-06-01,2018-06-16,DistribuidoraTech SA,Smartphones,29847491.0,60 días,Pagado
OC-5047,2018-06-01,2018-06-06,MegaComputo SRL,Computación,312071664.0,Contado,Pagado
OC-5048,2018-06-01,2018-06-06,DistribuidoraTech SA,Tablets,139610102.0,Contado,Pagado
OC-5049,2018-06-01,2018-06-18,ElectroImport SA,TV/Audio,22721206.0,Contado,Pagado
OC-5050,2018-06-01,2018-06-15,AccesoriosTotal SRL,Accesorios,98843881.0,60 días,Pagado
OC-5051,2018-06-01,2018-06-13,MegaComputo SRL,Periféricos,134086163.0,30 días,Pagado
OC-5052,2018-06-01,2018-06-20,MegaComputo SRL,Almacenamiento,94994912.0,Contado,Pagado
OC-5053,2018-06-01,2018-06-13,NetSupply SA,Redes,68863654.0,60 días,Pagado
OC-5054,2018-06-01,2018-06-18,NetSupply SA,Seguridad,6213066.0,Contado,Pagado
OC-5055,2018-07-01,2018-07-18,DistribuidoraTech SA,Smartphones,505699928.0,60 días,Pagado
OC-5056,2018-07-01,2018-07-17,MegaComputo SRL,Computación,509425096.0,Contado,Pagado
OC-5057,2018-07-01,2018-07-16,DistribuidoraTech SA,Tablets,21825934.0,30 días,Pagado
OC-5058,2018-07-01,2018-07-10,ElectroImport SA,TV/Audio,373229282.0,60 días,Pagado
OC-5059,2018-07-01,2018-07-17,AccesoriosTotal SRL,Accesorios,190465831.0,30 días,Pagado
OC-5060,2018-07-01,2018-07-13,MegaComputo SRL,Periféricos,210486967.0,Contado,Pagado
OC-5061,2018-07-01,2018-07-17,MegaComputo SRL,Almacenamiento,145977167.0,60 días,Pagado
