id_registro,fecha_semana,anio,mes,tipo_residuo,descripcion,kg_generados,kg_reciclados,kg_disposicion,operador_retiro,tasa_reciclaje
RES-001000,2018-01-01,2018,1,Embalaje cartón,Cajas y embalajes de productos,22.08,4.08,18.0,VerdeLogística,18.47826086956522
RES-001001,2018-01-01,2018,1,Plástico,"Film, espumas y plásticos varios",9.85,0.0,9.85,VerdeLogística,0.0
RES-001002,2018-01-01,2018,1,E-waste,Componentes y productos defectuosos,5.33,0.99,4.34,EcoRetiro SA,18.574108818011258
RES-001003,2018-01-01,2018,1,Pilas y baterías,Pilas agotadas y baterías de litio,2.01,0.31,1.69,EcoRetiro SA,15.422885572139306
RES-001004,2018-01-01,2018,1,Residuo general,Residuos de oficina y comedor,8.86,0.0,8.86,Municipal,0.0
RES-001005,2018-01-01,2018,1,Papel y cartón of.,Papel de impresión y documentos,3.68,0.6,3.08,EcoRetiro SA,16.304347826086953
RES-001006,2018-01-08,2018,1,Embalaje cartón,Cajas y embalajes de productos,18.23,3.69,14.54,Municipal,20.24136039495337
RES-001007,2018-01-08,2018,1,Plástico,"Film, espumas y plásticos varios",7.97,0.0,7.97,VerdeLogística,0.0
RES-001008,2018-01-08,2018,1,E-waste,Componentes y productos defectuosos,6.57,1.32,5.25,VerdeLogística,20.091324200913242
RES-001009,2018-01-08,2018,1,Pilas y baterías,Pilas agotadas y baterías de litio,1.95,0.35,1.61,EcoRetiro SA,17.94871794871795
RES-001010,2018-01-08,2018,1,Residuo general,Residuos de oficina y comedor,6.38,0.0,6.38,VerdeLogística,0.0
RES-001011,2018-01-08,2018,1,Papel y cartón of.,Papel de impresión y documentos,3.03,0.57,2.46,EcoRetiro SA,18.81188118811881
RES-001012,2018-01-15,2018,1,Embalaje cartón,Cajas y embalajes de productos,22.1475,4.78,20.26,VerdeLogística,19.089456869009584
RES-001013,2018-01-15,2018,1,Plástico,"Film, espumas y plásticos varios",11.01,0.0,11.01,EcoRetiro SA,0.0
RES-001014,2018-01-15,2018,1,E-waste,Componentes y productos defectuosos,5.46,1.26,4.2,Municipal,23.076923076923077
RES-001015,2018-01-15,2018,1,Pilas y baterías,Pilas agotadas y baterías de litio,2.13,0.4,1.74,Municipal,18.779342723004696
RES-001016,2018-01-15,2018,1,Residuo general,Residuos de oficina y comedor,7.94,0.0,7.94,Municipal,0.0
RES-001017,2018-01-15,2018,1,Papel y cartón of.,Papel de impresión y documentos,3.18,0.6,2.59,EcoRetiro SA,18.867924528301884
RES-001018,2018-01-22,2018,1,Embalaje cartón,Cajas y embalajes de productos,22.1475,3.71,23.77,VerdeLogística,13.500727802037845
RES-001019,2018-01-22,2018,1,Plástico,"Film, espumas y plásticos varios",9.15,0.0,9.15,Municipal,0.0
RES-001020,2018-01-22,2018,1,E-waste,Componentes y productos defectuosos,4.14,0.85,3.29,VerdeLogística,20.531400966183575
RES-001021,2018-01-22,2018,1,Pilas y baterías,Pilas agotadas y baterías de litio,1.58,0.26,1.32,VerdeLogística,16.455696202531644
RES-001022,2018-01-22,2018,1,Residuo general,Residuos de oficina y comedor,6.75,0.0,6.75,EcoRetiro SA,0.0
RES-001023,2018-01-22,2018,1,Papel y cartón of.,Papel de impresión y documentos,2.45,0.43,2.03,Municipal,17.551020408163264
