id_tiempo,fecha,anio,mes,dia,trimestre,semana,nombre_mes,dia_semana,es_finde
20180101,2018-01-01,2018,1,1,1,1,January,Monday,0
20180102,2018-01-02,2018,1,2,1,1,January,Tuesday,0
20180103,2018-01-03,2018,1,3,1,1,January,Wednesday,0
20180104,2018-01-04,2018,1,4,1,1,January,Thursday,0
20180105,2018-01-05,2018,1,5,1,1,January,Friday,0
20180106,2018-01-06,2018,1,6,1,1,January,Saturday,1
20180107,2018-01-07,2018,1,7,1,1,January,Sunday,1
20180108,2018-01-08,2018,1,8,1,2,January,Monday,0
20180109,2018-01-09,2018,1,9,1,2,January,Tuesday,0
20180110,2018-01-10,2018,1,10,1,2,January,Wednesday,0
20180111,2018-01-11,2018,1,11,1,2,January,Thursday,0
20180112,2018-01-12,2018,1,12,1,2,January,Friday,0
20180113,2018-01-13,2018,1,13,1,2,January,Saturday,1
20180115,2018-01-15,2018,1,15,1,3,January,Monday,0
20180116,2018-01-16,2018,1,16,1,3,January,Tuesday,0
20180117,2018-01-17,2018,1,17,1,3,January,Wednesday,0
20180118,2018-01-18,2018,1,18,1,3,January,Thursday,0
20180119,2018-01-19,2018,1,19,1,3,January,Friday,0
20180120,2018-01-20,2018,1,20,1,3,January,Saturday,1
20180122,2018-01-22,2018,1,22,1,4,January,Monday,0
20180123,2018-01-23,2018,1,23,1,4,January,Tuesday,0
20180124,2018-01-24,2018,1,24,1,4,January,Wednesday,0
20180125,2018-01-25,2018,1,25,1,4,January,Thursday,0
20180126,2018-01-26,2018,1,26,1,4,January,Friday,0
20180127,2018-01-27,2018,1,27,1,4,January,Saturday,1
20180129,2018-01-29,2018,1,29,1,5,January,Monday,0
20180130,2018-01-30,2018,1,30,1,5,January,Tuesday,0
20180131,2018-01-31,2018,1,31,1,5,January,Wednesday,0
20180201,2018-02-01,2018,2,1,1,5,February,Thursday,0
20180202,2018-02-02,2018,2,2,1,5,February,Friday,0
20180203,2018-02-03,2018,2,3,1,5,February,Saturday,1
20180205,2018-02-05,2018,2,5,1,6,February,Monday,0
20180206,2018-02-06,2018,2,6,1,6,February,Tuesday,0
20180207,2018-02-07,2018,2,7,1,6,February,Wednesday,0
20180208,2018-02-08,2018,2,8,1,6,February,Thursday,0
20180209,2018-02-09,2018,2,9,1,6,February,Friday,0
20180210,2018-02-10,2018,2,10,1,6,February,Saturday,1
20180211,2018-02-11,2018,2,11,1,6,February,Sunday,1
20180212,2018-02-12,2018,2,12,1,7,February,Monday,0
20180213,2018-02-13,2018,2,13,1,7,February,Tuesday,0
20180214,2018-02-14,2018,2,14,1,7,February,Wednesday,0
20180215,2018-02-15,2018,2,15,1,7,February,Thursday,0
20180216,2018-02-16,2018,2,16,1,7,February,Friday,0
20180217,2018-02-17,2018,2,17,1,7,February,Saturday,1
20180219,2018-02-19,2018,2,19,1,8,February,Monday,0
20180220,2018-02-20,2018,2,20,1,8,February,Tuesday,0
20180221,2018-02-21,2018,2,21,1,8,February,Wednesday,0
20180222,2018-02-22,2018,2,22,1,8,February,Thursday,0
20180223,2018-02-23,2018,2,23,1,8,February,Friday,0
20180224,2018-02-24,2018,2,24,1,8,February,Saturday,1
20180226,2018-02-26,2018,2,26,1,9,February,Monday,0
20180227,2018-02-27,2018,2,27,1,9,February,Tuesday,0
20180228,2018-02-28,2018,2,28,1,9,February,Wednesday,0
20180301,2018-03-01,2018,3,1,1,9,March,Thursday,0
20180302,2018-03-02,2018,3,2,1,9,March,Friday,0
20180303,2018-03-03,2018,3,3,1,9,March,Saturday,1
20180305,2018-03-05,2018,3,5,1,10,March,Monday,0
20180306,2018-03-06,2018,3,6,1,10,March,Tuesday,0
20180307,2018-03-07,2018,3,7,1,10,March,Wednesday,0
20180308,2018-03-08,2018,3,8,1,10,March,Thursday,0
20180309,2018-03-09,2018,3,9,1,10,March,Friday,0
20180310,2018-03-10,2018,3,10,1,10,March,Saturday,1
20180311,2018-03-11,2018,3,11,1,10,March,Sunday,1
20180312,2018-03-12,2018,3,12,1,11,March,Monday,0
20180313,2018-03-13,2018,3,13,1,11,March,Tuesday,0
20180314,2018-03-14,2018,3,14,1,11,March,Wednesday,0
20180315,2018-03-15,2018,3,15,1,11,March,Thursday,0
20180316,2018-03-16,2018,3,16,1,11,March,Friday,0
20180317,2018-03-17,2018,3,17,1,11,March,Saturday,1
20180319,2018-03-19,2018,3,19,1,12,March,Monday,0
20180320,2018-03-20,2018,3,20,1,12,March,Tuesday,0
20180321,2018-03-21,2018,3,21,1,12,March,Wednesday,0
20180322,2018-03-22,2018,3,22,1,12,March,Thursday,0
20180323,2018-03-23,2018,3,23,1,12,March,Friday,0
20180324,2018-03-24,2018,3,24,1,12,March,Saturday,1
20180326,2018-03-26,2018,3,26,1,13,March,Monday,0
20180327,2018-03-27,2018,3,27,1,13,March,Tuesday,0
20180328,2018-03-28,2018,3,28,1,13,March,Wednesday,0
20180329,2018-03-29,2018,3,29,1,13,March,Thursday,0
20180330,2018-03-30,2018,3,30,1,13,March,Friday,0
20180331,2018-03-31,2018,3,31,1,13,March,Saturday,1
20180401,2018-04-01,2018,4,1,2,13,April,Sunday,1
20180402,2018-04-02,2018,4,2,2,14,April,Monday,0
20180403,2018-04-03,2018,4,3,2,14,April,Tuesday,0
20180404,2018-04-04,2018,4,4,2,14,April,Wednesday,0
20180405,2018-04-05,2018,4,5,2,14,April,Thursday,0
20180406,2018-04-06,2018,4,6,2,14,April,Friday,0
20180407,2018-04-07,2018,4,7,2,14,April,Saturday,1
20180409,2018-04-09,2018,4,9,2,15,April,Monday,0
20180410,2018-04-10,2018,4,10,2,15,April,Tuesday,0
20180411,2018-04-11,2018,4,11,2,15,April,Wednesday,0
20180412,2018-04-12,2018,4,12,2,15,April,Thursday,0
20180413,2018-04-13,2018,4,13,2,15,April,Friday,0
20180414,2018-04-14,2018,4,14,2,15,April,Saturday,1
20180415,2018-04-15,2018,4,15,2,15,April,Sunday,1
20180416,2018-04-16,2018,4,16,2,16,April,Monday,0
20180417,2018-04-17,2018,4,17,2,16,April,Tuesday,0
20180418,2018-04-18,2018,4,18,2,16,April,Wednesday,0
20180419,2018-04-19,2018,4,19,2,16,April,Thursday,0
20180420,2018-04-20,2018,4,20,2,16,April,Friday,0
20180421,2018-04-21,2018,4,21,2,16,April,Saturday,1
20180423,2018-04-23,2018,4,23,2,17,April,Monday,0
20180424,2018-04-24,2018,4,24,2,17,April,Tuesday,0
20180425,2018-04-25,2018,4,25,2,17,April,Wednesday,0
20180426,2018-04-26,2018,4,26,2,17,April,Thursday,0
20180427,2018-04-27,2018,4,27,2,17,April,Friday,0
20180428,2018-04-28,2018,4,28,2,17,April,Saturday,1
20180430,2018-04-30,2018,4,30,2,18,April,Monday,0
20180501,2018-05-01,2018,5,1,2,18,May,Tuesday,0
20180502,2018-05-02,2018,5,2,2,18,May,Wednesday,0
20180503,2018-05-03,2018,5,3,2,18,May,Thursday,0
20180504,2018-05-04,2018,5,4,2,18,May,Friday,0
20180505,2018-05-05,2018,5,5,2,18,May,Saturday,1
20180507,2018-05-07,2018,5,7,2,19,May,Monday,0
20180508,2018-05-08,2018,5,8,2,19,May,Tuesday,0
20180509,2018-05-09,2018,5,9,2,19,May,Wednesday,0
20180510,2018-05-10,2018,5,10,2,19,May,Thursday,0
20180511,2018-05-11,2018,5,11,2,19,May,Friday,0
20180512,2018-05-12,2018,5,12,2,19,May,Saturday,1
20180513,2018-05-13,2018,5,13,2,19,May,Sunday,1
20180514,2018-05-14,2018,5,14,2,20,May,Monday,0
20180515,2018-05-15,2018,5,15,2,20,May,Tuesday,0
20180516,2018-05-16,2018,5,16,2,20,May,Wednesday,0
20180517,2018-05-17,2018,5,17,2,20,May,Thursday,0
20180518,2018-05-18,2018,5,18,2,20,May,Friday,0
20180519,2018-05-19,2018,5,19,2,20,May,Saturday,1
20180520,2018-05-20,2018,5,20,2,20,May,Sunday,1
20180521,2018-05-21,2018,5,21,2,21,May,Monday,0
20180522,2018-05-22,2018,5,22,2,21,May,Tuesday,0
20180523,2018-05-23,2018,5,23,2,21,May,Wednesday,0
20180524,2018-05-24,2018,5,24,2,21,May,Thursday,0
20180525,2018-05-25,2018,5,25,2,21,May,Friday,0
20180526,2018-05-26,2018,5,26,2,21,May,Saturday,1
20180528,2018-05-28,2018,5,28,2,22,May,Monday,0
20180529,2018-05-29,2018,5,29,2,22,May,Tuesday,0
20180530,2018-05-30,2018,5,30,2,22,May,Wednesday,0
20180531,2018-05-31,2018,5,31,2,22,May,Thursday,0
20180601,2018-06-01,2018,6,1,2,22,June,Friday,0
20180602,2018-06-02,2018,6,2,2,22,June,Saturday,1
20180604,2018-06-04,2018,6,4,2,23,June,Monday,0
20180605,2018-06-05,2018,6,5,2,23,June,Tuesday,0
20180606,2018-06-06,2018,6,6,2,23,June,Wednesday,0
20180607,2018-06-07,2018,6,7,2,23,June,Thursday,0
20180608,2018-06-08,2018,6,8,2,23,June,Friday,0
20180609,2018-06-09,2018,6,9,2,23,June,Saturday,1
20180611,2018-06-11,2018,6,11,2,24,June,Monday,0
20180612,2018-06-12,2018,6,12,2,24,June,Tuesday,0
20180613,2018-06-13,2018,6,13,2,24,June,Wednesday,0
20180614,2018-06-14,2018,6,14,2,24,June,Thursday,0
20180615,2018-06-15,2018,6,15,2,24,June,Friday,0
20180616,2018-06-16,2018,6,16,2,24,June,Saturday,1
20180618,2018-06-18,2018,6,18,2,25,June,Monday,0
20180619,2018-06-19,2018,6,19,2,25,June,Tuesday,0
20180620,2018-06-20,2018,6,20,2,25,June,Wednesday,0
20180621,2018-06-21,2018,6,21,2,25,June,Thursday,0
20180622,2018-06-22,2018,6,22,2,25,June,Friday,0
20180623,2018-06-23,2018,6,23,2,25,June,Saturday,1
20180625,2018-06-25,2018,6,25,2,26,June,Monday,0
20180626,2018-06-26,2018,6,26,2,26,June,Tuesday,0
20180627,2018-06-27,2018,6,27,2,26,June,Wednesday,0
20180628,2018-06-28,2018,6,28,2,26,June,Thursday,0
20180629,2018-06-29,2018,6,29,2,26,June,Friday,0
20180630,2018-06-30,2018,6,30,2,26,June,Saturday,1
20180701,2018-07-01,2018,7,1,3,26,July,Sunday,1
20180702,2018-07-02,2018,7,2,3,27,July,Monday,0
20180703,2018-07-03,2018,7,3,3,27,July,Tuesday,0
20180704,2018-07-04,2018,7,4,3,27,July,Wednesday,0
20180705,2018-07-05,2018,7,5,3,27,July,Thursday,0
20180706,2018-07-06,2018,7,6,3,27,July,Friday,0
20180707,2018-07-07,2018,7,7,3,27,July,Saturday,1
20180709,2018-07-09,2018,7,9,3,28,July,Monday,0
20180710,2018-07-10,2018,7,10,3,28,July,Tuesday,0
20180711,2018-07-11,2018,7,11,3,28,July,Wednesday,0
20180712,2018-07-12,2018,7,12,3,28,July,Thursday,0
20180713,2018-07-13,2018,7,13,3,28,July,Friday,0
20180714,2018-07-14,2018,7,14,3,28,July,Saturday,1
20180716,2018-07-16,2018,7,16,3,29,July,Monday,0
20180717,2018-07-17,2018,7,17,3,29,July,Tuesday,0
20180718,2018-07-18,2018,7,18,3,29,July,Wednesday,0
20180719,2018-07-19,2018,7,19,3,29,July,Thursday,0
20180720,2018-07-20,2018,7,20,3,29,July,Friday,0
20180721,2018-07-21,2018,7,21,3,29,July,Saturday,1
20180723,2018-07-23,2018,7,23,3,30,July,Monday,0
20180724,2018-07-24,2018,7,24,3,30,July,Tuesday,0
20180725,2018-07-25,2018,7,25,3,30,July,Wednesday,0
20180726,2018-07-26,2018,7,26,3,30,July,Thursday,0
20180727,2018-07-27,2018,7,27,3,30,July,Friday,0
20180728,2018-07-28,2018,7,28,3,30,July,Saturday,1
20180730,2018-07-30,2018,7,30,3,31,July,Monday,0
20180731,2018-07-31,2018,7,31,3,31,July,Tuesday,0
20180801,2018-08-01,2018,8,1,3,31,August,Wednesday,0
20180802,2018-08-02,2018,8,2,3,31,August,Thursday,0
20180803,2018-08-03,2018,8,3,3,31,August,Friday,0
20180804,2018-08-04,2018,8,4,3,31,August,Saturday,1
20180806,2018-08-06,2018,8,6,3,32,August,Monday,0
20180807,2018-08-07,2018,8,7,3,32,August,Tuesday,0
20180808,2018-08-08,2018,8,8,3,32,August,Wednesday,0
20180809,2018-08-09,2018,8,9,3,32,August,Thursday,0
