id_orden_compra,fecha_emision,fecha_pago,proveedor,categoria,monto_ars,condicion_pago,estado
OC-5001,2018-01-01,2018-01-08,DistribuidoraTech SA,Smartphones,255794843,Contado,Pagado
OC-5002,2018-01-01,2018-01-12,MegaComputo SRL,Computación,33132624,Contado,Pagado
OC-5003,2018-01-01,2018-01-12,DistribuidoraTech SA,Tablets,109255378,30 días,Pagado
OC-5004,2018-01-01,2018-01-07,ElectroImport SA,TV/Audio,22013869,30 días,Pagado
OC-5005,2018-01-01,2018-01-11,AccesoriosTotal SRL,Accesorios,106003285,60 días,Pagado
OC-5006,2018-01-01,2018-01-19,MegaComputo SRL,Periféricos,127504749,Contado,Pagado
OC-5007,2018-01-01,2018-01-08,MegaComputo SRL,Almacenamiento,7481191,Contado,Pagado
OC-5008,2018-01-01,2018-01-13,NetSupply SA,Redes,61392166,Contado,Pagado
OC-5009,2018-01-01,2018-01-10,NetSupply SA,Seguridad,49038467,Contado,Pagado
OC-5010,2018-02-01,2018-02-09,DistribuidoraTech SA,Smartphones,263485642,Contado,Pagado
OC-5011,2018-02-01,2018-02-07,MegaComputo SRL,Computación,295476749,60 días,Pagado
OC-5012,2018-02-01,2018-02-17,DistribuidoraTech SA,Tablets,109255404,60 días,Pagado
OC-5013,2018-02-01,2018-02-16,ElectroImport SA,TV/Audio,194011239,Contado,Pagado
OC-5014,2018-02-01,2018-02-11,AccesoriosTotal SRL,Accesorios,95843987,30 días,Pagado
OC-5015,2018-02-01,2018-02-06,MegaComputo SRL,Periféricos,135711406,30 días,Pagado
OC-5016,2018-02-01,2018-02-19,MegaComputo SRL,Almacenamiento,80697645,60 días,Pagado
OC-5017,2018-02-01,2018-02-13,NetSupply SA,Redes,70249542,30 días,Pagado
OC-5018,2018-02-01,2018-02-10,NetSupply SA,Seguridad,46998752,30 días,Pagado
OC-5019,2018-03-01,2018-03-09,DistribuidoraTech SA,Smartphones,263272012,Contado,Pagado
OC-5020,2018-03-01,2018-03-10,MegaComputo SRL,Computación,344975703,60 días,Pagado
OC-5021,2018-03-01,2018-03-09,DistribuidoraTech SA,Tablets,13783141,30 días,Pagado
OC-5022,2018-03-01,2018-03-20,ElectroImport SA,TV/Audio,204003709,30 días,Pagado
OC-5023,2018-03-01,2018-03-12,AccesoriosTotal SRL,Accesorios,102853333,30 días,Pagado
OC-5024,2018-03-01,2018-03-11,MegaComputo SRL,Periféricos,141284941,Contado,Pagado
OC-5025,2018-03-01,2018-03-05,MegaComputo SRL,Almacenamiento,91341696,Contado,Pagado
OC-5026,2018-03-01,2018-03-13,NetSupply SA,Redes,64231021,Contado,Pagado
OC-5027,2018-03-01,2018-03-15,NetSupply SA,Seguridad,55776533,60 días,Pagado
OC-5028,2018-04-01,2018-04-05,DistribuidoraTech SA,Smartphones,349285183,60 días,Pagado
OC-5029,2018-04-01,2018-04-19,MegaComputo SRL,Computación,347682194,Contado,Pagado
OC-5030,2018-04-01,2018-04-10,DistribuidoraTech SA,Tablets,143697195,30 días,Pagado
OC-5031,2018-04-01,2018-04-05,ElectroImport SA,TV/Audio,286258769,30 días,Pagado
OC-5032,2018-04-01,2018-04-11,AccesoriosTotal SRL,Accesorios,124221193,30 días,Pagado
