id_factura,fecha,anio,mes,tipo_servicio,proveedor,kwh_consumidos,kwh_generados,m3_gas,tarifa_unitaria,monto_ars,es_renovable
FAC-E-201801,2018-01-01,2018,1,Electricidad Red,EDENOR,86899,0,0,128272,11146755,FALSO
FAC-E-201802,2018-02-01,2018,2,Electricidad Red,EDENOR,80921,0,0,124905,1010737,FALSO
FAC-E-201803,2018-03-01,2018,3,Electricidad Red,EDENOR,90398,0,0,126802,11462653,FALSO
FAC-E-201804,2018-04-01,2018,4,Electricidad Red,EDENOR,93028,0,0,124588,11590161,FALSO
FAC-E-201805,2018-05-01,2018,5,Electricidad Red,EDENOR,90984,0,0,124737,11349076,FALSO
FAC-E-201806,2018-06-01,2018,6,Electricidad Red,EDENOR,94332,0,0,12644,11927387,FALSO
FAC-E-201807,2018-07-01,2018,7,Electricidad Red,EDENOR,93003,0,0,124364,11566208,FALSO
FAC-E-201808,2018-08-01,2018,8,Electricidad Red,EDENOR,90071,0,0,128461,11570629,FALSO
FAC-E-201809,2018-09-01,2018,9,Electricidad Red,EDENOR,85161,0,0,121342,10333628,FALSO
FAC-E-201810,2018-10-01,2018,10,Electricidad Red,EDENOR,81126,0,0,122584,9944782,FALSO
FAC-E-201811,2018-11-01,2018,11,Electricidad Red,EDENOR,77180,0,0,129518,9996224,FALSO
FAC-E-201812,2018-12-01,2018,12,Electricidad Red,EDENOR,79206,0,0,126584,10026242,FALSO
FAC-E-201901,2019-01-01,2019,1,Electricidad Red,EDENOR,83887,0,0,203627,17081673,FALSO
FAC-E-201902,2019-02-01,2019,2,Electricidad Red,EDENOR,82656,0,0,1982,16382304,FALSO
FAC-E-201903,2019-03-01,2019,3,Electricidad Red,EDENOR,89458,0,0,200446,17931505,FALSO
FAC-E-201904,2019-04-01,2019,4,Electricidad Red,EDENOR,84861,0,0,202096,17150119,FALSO
FAC-E-201905,2019-05-01,2019,5,Electricidad Red,EDENOR,88223,0,0,204443,18036457,FALSO
FAC-E-201906,2019-06-01,2019,6,Electricidad Red,EDENOR,90221,0,0,200731,18110227,FALSO
FAC-E-201907,2019-07-01,2019,7,Electricidad Red,EDENOR,90695,0,0,201125,18240995,FALSO
FAC-E-201908,2019-08-01,2019,8,Electricidad Red,EDENOR,82516,0,0,202347,16696908,FALSO
FAC-E-201909,2019-09-01,2019,9,Electricidad Red,EDENOR,86663,0,0,20264,17561394,FALSO
FAC-E-201910,2019-10-01,2019,10,Electricidad Red,EDENOR,82881,0,0,205902,1706543,FALSO
FAC-E-201911,2019-11-01,2019,11,Electricidad Red,EDENOR,76940,0,0,19595,15076394,FALSO
FAC-E-201912,2019-12-01,2019,12,Electricidad Red,EDENOR,75903,0,0,196665,14927542,FALSO
FAC-E-202001,2020-01-01,2020,1,Electricidad Red,EDENOR,78155,0,0,220492,17232557,FALSO
FAC-E-202002,2020-02-01,2020,2,Electricidad Red,EDENOR,79596,0,0,224945,17904819,FALSO
FAC-E-202003,2020-03-01,2020,3,Electricidad Red,EDENOR,35414,0,0,22605,8005327,FALSO
FAC-E-202004,2020-04-01,2020,4,Electricidad Red,EDENOR,37213,0,0,222702,8287457,FALSO
FAC-E-202005,2020-05-01,2020,5,Electricidad Red,EDENOR,36454,0,0,230684,840927,FALSO
FAC-E-202006,2020-06-01,2020,6,Electricidad Red,EDENOR,50133,0,0,233084,1168529,FALSO
FAC-E-202007,2020-07-01,2020,7,Electricidad Red,EDENOR,60412,0,0,221762,13397035,FALSO
FAC-E-202008,2020-08-01,2020,8,Electricidad Red,EDENOR,63060,0,0,229931,14499542,FALSO
FAC-E-202009,2020-09-01,2020,9,Electricidad Red,EDENOR,68096,0,0,224606,15294845,FALSO
FAC-E-202010,2020-10-01,2020,10,Electricidad Red,EDENOR,71470,0,0,227245,16241292,FALSO
FAC-E-202011,2020-11-01,2020,11,Electricidad Red,EDENOR,70916,0,0,223004,15814492,FALSO
FAC-E-202012,2020-12-01,2020,12,Electricidad Red,EDENOR,66389,0,0,229797,15256059,FALSO
FAC-E-202101,2021-01-01,2021,1,Electricidad Red,EDENOR,79917,0,0,252756,20199514,FALSO
FAC-E-202102,2021-02-01,2021,2,Electricidad Red,EDENOR,77597,0,0,25968,20150325,FALSO
FAC-E-202103,2021-03-01,2021,3,Electricidad Red,EDENOR,84692,0,0,251005,21258194,FALSO
FAC-E-202104,2021-04-01,2021,4,Electricidad Red,EDENOR,92734,0,0,246816,22888218,FALSO
FAC-E-202105,2021-05-01,2021,5,Electricidad Red,EDENOR,88146,0,0,248164,21874761,FALSO
FAC-E-202106,2021-06-01,2021,6,Electricidad Red,EDENOR,83682,0,0,247611,20720646,FALSO
FAC-E-202107,2021-07-01,2021,7,Electricidad Red,EDENOR,89577,0,0,255861,22919228,FALSO
FAC-E-202108,2021-08-01,2021,8,Electricidad Red,EDENOR,87239,0,0,257161,22434495,FALSO
FAC-E-202109,2021-09-01,2021,9,Electricidad Red,EDENOR,87439,0,0,24352,21293082,FALSO
FAC-E-202110,2021-10-01,2021,10,Electricidad Red,EDENOR,85103,0,0,25215,21458765,FALSO
FAC-E-202111,2021-11-01,2021,11,Electricidad Red,EDENOR,79201,0,0,249479,19759059,FALSO
FAC-E-202112,2021-12-01,2021,12,Electricidad Red,EDENOR,72437,0,0,251943,18249906,FALSO
FAC-E-202201,2022-01-01,2022,1,Electricidad Red,EDENOR,77327,0,0,349787,27048138,FALSO
FAC-E-202202,2022-02-01,2022,2,Electricidad Red,EDENOR,76561,0,0,357183,27346144,FALSO
FAC-E-202203,2022-03-01,2022,3,Electricidad Red,EDENOR,76785,0,0,352884,2709619,FALSO
FAC-E-202204,2022-04-01,2022,4,Electricidad Red,EDENOR,82970,0,0,34486,28613223,FALSO
FAC-E-202205,2022-05-01,2022,5,Electricidad Red,EDENOR,77324,0,0,348415,26940657,FALSO
FAC-E-202206,2022-06-01,2022,6,Electricidad Red,EDENOR,82611,0,0,348699,28806341,FALSO
FAC-E-202207,2022-07-01,2022,7,Electricidad Red,EDENOR,49167,0,0,358337,17618536,FALSO
FAC-E-202208,2022-08-01,2022,8,Electricidad Red,EDENOR,53185,0,0,360227,19158696,FALSO
FAC-E-202209,2022-09-01,2022,9,Electricidad Red,EDENOR,47008,0,0,358923,16872121,FALSO
FAC-E-202210,2022-10-01,2022,10,Electricidad Red,EDENOR,46079,0,0,347307,16003419,FALSO
