id_registro,fecha_semana,anio,mes,tipo_residuo,descripcion,kg_generados,kg_reciclados,kg_disposicion,operador_retiro
RES-001000,2018-01-01,2018,1,Embalaje cartón,Cajas y embalajes de productos,22.08,4.08,18.0,VerdeLogística
RES-001001,2018-01-01,2018,1,Plástico,"Film, espumas y plásticos varios",9.85,0.0,9.85,VerdeLogística
RES-001002,2018-01-01,2018,1,E-waste,Componentes y productos defectuosos,5.33,0.99,4.34,EcoRetiro SA
RES-001003,2018-01-01,2018,1,Pilas y baterías,Pilas agotadas y baterías de litio,2.01,0.31,1.69,EcoRetiro SA
RES-001004,2018-01-01,2018,1,Residuo general,Residuos de oficina y comedor,8.86,0.0,8.86,Municipal
RES-001005,2018-01-01,2018,1,Papel y cartón of.,Papel de impresión y documentos,3.68,0.6,3.08,EcoRetiro SA
RES-001006,2018-01-08,2018,1,Embalaje cartón,Cajas y embalajes de productos,18.23,3.69,14.54,Municipal
RES-001007,2018-01-08,2018,1,Plástico,"Film, espumas y plásticos varios",7.97,0.0,7.97,VerdeLogística
RES-001008,2018-01-08,2018,1,E-waste,Componentes y productos defectuosos,6.57,1.32,5.25,VerdeLogística
RES-001009,2018-01-08,2018,1,Pilas y baterías,Pilas agotadas y baterías de litio,1.95,0.35,1.61,EcoRetiro SA
RES-001010,2018-01-08,2018,1,Residuo general,Residuos de oficina y comedor,6.38,0.0,6.38,VerdeLogística
RES-001011,2018-01-08,2018,1,Papel y cartón of.,Papel de impresión y documentos,3.03,0.57,2.46,EcoRetiro SA
RES-001012,2018-01-15,2018,1,Embalaje cartón,Cajas y embalajes de productos,25.04,4.78,20.26,VerdeLogística
RES-001013,2018-01-15,2018,1,Plástico,"Film, espumas y plásticos varios",11.01,0.0,11.01,EcoRetiro SA
RES-001014,2018-01-15,2018,1,E-waste,Componentes y productos defectuosos,5.46,1.26,4.2,Municipal
RES-001015,2018-01-15,2018,1,Pilas y baterías,Pilas agotadas y baterías de litio,2.13,0.4,1.74,Municipal
RES-001016,2018-01-15,2018,1,Residuo general,Residuos de oficina y comedor,7.94,0.0,7.94,Municipal
RES-001017,2018-01-15,2018,1,Papel y cartón of.,Papel de impresión y documentos,3.18,0.6,2.59,EcoRetiro SA
RES-001018,2018-01-22,2018,1,Embalaje cartón,Cajas y embalajes de productos,27.48,3.71,23.77,VerdeLogística
RES-001019,2018-01-22,2018,1,Plástico,"Film, espumas y plásticos varios",9.15,0.0,9.15,Municipal
RES-001020,2018-01-22,2018,1,E-waste,Componentes y productos defectuosos,4.14,0.85,3.29,VerdeLogística
RES-001021,2018-01-22,2018,1,Pilas y baterías,Pilas agotadas y baterías de litio,1.58,0.26,1.32,VerdeLogística
RES-001022,2018-01-22,2018,1,Residuo general,Residuos de oficina y comedor,6.75,0.0,6.75,EcoRetiro SA
RES-001023,2018-01-22,2018,1,Papel y cartón of.,Papel de impresión y documentos,2.45,0.43,2.03,Municipal
RES-001024,2018-01-29,2018,1,Embalaje cartón,Cajas y embalajes de productos,16.28,3.38,12.9,Municipal
RES-001025,2018-01-29,2018,1,Plástico,"Film, espumas y plásticos varios",10.1,0.0,10.1,Municipal
RES-001026,2018-01-29,2018,1,E-waste,Componentes y productos defectuosos,4.87,0.93,3.94,VerdeLogística
RES-001027,2018-01-29,2018,1,Pilas y baterías,Pilas agotadas y baterías de litio,2.1,0.34,1.76,VerdeLogística
RES-001028,2018-01-29,2018,1,Residuo general,Residuos de oficina y comedor,8.29,0.0,8.29,Municipal
RES-001029,2018-01-29,2018,1,Papel y cartón of.,Papel de impresión y documentos,2.9,0.58,2.32,VerdeLogística
RES-001030,2018-02-05,2018,2,Embalaje cartón,Cajas y embalajes de productos,22.02,3.43,18.59,Municipal
RES-001031,2018-02-05,2018,2,Plástico,"Film, espumas y plásticos varios",10.89,0.0,10.89,VerdeLogística
RES-001032,2018-02-05,2018,2,E-waste,Componentes y productos defectuosos,5.31,0.95,4.36,EcoRetiro SA
RES-001033,2018-02-05,2018,2,Pilas y baterías,Pilas agotadas y baterías de litio,2.08,0.34,1.74,Municipal
RES-001034,2018-02-05,2018,2,Residuo general,Residuos de oficina y comedor,7.17,0.0,7.17,EcoRetiro SA
RES-001035,2018-02-05,2018,2,Papel y cartón of.,Papel de impresión y documentos,2.76,0.48,2.28,EcoRetiro SA
RES-001036,2018-02-12,2018,2,Embalaje cartón,Cajas y embalajes de productos,28.2,4.68,23.52,VerdeLogística
