id_ticket,fecha,hora,anio,mes,id_producto,nombre_producto,categoria,cantidad,precio_unitario,descuento_pct,subtotal_ars,medio_pago,vendedor,canal
TK-10001,2018-01-01,19:07,2018,1,P010,Teclado Mecánico,Periféricos,1,11599.72,0.05,11019.74,Débito,V01-López,Local físico
TK-10002,2018-01-01,17:05,2018,1,P002,Smartphone Gama Alta,Smartphones,1,121148.05,0.0,121148.05,Efectivo,V03-Martínez,Local físico
TK-10003,2018-01-01,17:12,2018,1,P001,Smartphone Gama Media,Smartphones,1,45376.71,0.0,45376.71,Crédito 3 cuotas,V04-Rodríguez,Local físico
TK-10004,2018-01-01,09:48,2018,1,P009,Mouse Inalámbrico,Periféricos,1,3297.01,0.15,2802.46,Crédito 3 cuotas,V05-Fernández,Local físico
TK-10005,2018-01-01,14:06,2018,1,P001,Smartphone Gama Media,Smartphones,1,44366.21,0.1,39929.59,Débito,V01-López,Local físico
TK-10005,2018-01-01,14:06,2018,1,P014,Cámara IP Seguridad,Seguridad,1,22358.09,0.0,22358.09,Débito,V01-López,Local físico
TK-10006,2018-01-01,15:05,2018,1,P002,Smartphone Gama Alta,Smartphones,2,117943.03,0.0,235886.06,Crédito 6 cuotas,V03-Martínez,Local físico
TK-10007,2018-01-01,20:04,2018,1,P007,"Smart TV 55""",TV/Audio,1,179871.34,0.0,179871.34,Débito,V01-López,Local físico
TK-10008,2018-01-02,10:24,2018,1,P008,Auriculares Bluetooth,Accesorios,1,8356.62,0.0,8356.62,Crédito 3 cuotas,V02-García,Local físico
TK-10009,2018-01-02,13:44,2018,1,P002,Smartphone Gama Alta,Smartphones,1,116731.11,0.05,110894.56,Crédito 3 cuotas,V05-Fernández,Local físico
TK-10010,2018-01-02,11:29,2018,1,P006,"Smart TV 43""",TV/Audio,1,105339.4,0.05,100072.43,Transferencia,V02-García,Local físico
TK-10011,2018-01-02,09:14,2018,1,P010,Teclado Mecánico,Periféricos,1,12024.31,0.1,10821.88,Crédito 6 cuotas,V05-Fernández,Local físico
TK-10012,2018-01-03,18:56,2018,1,P008,Auriculares Bluetooth,Accesorios,2,8531.17,0.0,17062.33,Débito,V04-Rodríguez,Local físico
TK-10013,2018-01-03,11:16,2018,1,P002,Smartphone Gama Alta,Smartphones,1,118144.43,0.0,118144.43,Crédito 6 cuotas,V01-López,Local físico
TK-10014,2018-01-03,18:25,2018,1,P001,Smartphone Gama Media,Smartphones,1,44189.66,0.05,41980.17,Transferencia,V02-García,Local físico
